YEAR,RANGE_CATEGORY,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,FUEL,FUEL CONSUMPTION,KMXGALON,EMISSIONS
2000,HIGH_RANGE,MIDSIZE_FULLSIZE,2.7,6,Z,13.6,40.2335,264
2000,HIGH_RANGE,MIDSIZE_FULLSIZE,2.7,6,Z,13.6,38.62416,267
2000,HIGH_RANGE,SEDAN_COMPACT,2.7,6,Z,13.6,38.62416,267
2000,HIGH_RANGE,SEDAN_COMPACT,2.5,6,Z,12.3,43.45218,237
2000,HIGH_RANGE,SEDAN_COMPACT,4.9,8,Z,17.7,32.1868,331
2000,HIGH_RANGE,SUV_CROSSOVER,5.7,8,X,19.2,27.35878,382
2000,MID_RANGE,SUV_CROSSOVER,4.3,6,X,14.6,37.01482,288
2000,MID_RANGE,TRUCK_VAN,4.3,6,X,16.7,30.57746,338
2000,MID_RANGE,TRUCK_VAN,4.3,6,X,16.0,32.1868,327
2000,MID_RANGE,TRUCK_VAN,4.8,8,X,15.6,32.1868,322
2000,MID_RANGE,SUV_CROSSOVER,5.3,8,X,17.1,30.57746,345
2000,MID_RANGE,MIDSIZE_FULLSIZE,2.5,6,X,12.1,45.06152,235
2000,MID_RANGE,MIDSIZE_FULLSIZE,3.2,6,X,12.6,43.45218,239
2000,LOW_RANGE,SEDAN_COMPACT,1.6,4,X,10.2,53.10822,196
2000,LOW_RANGE,SEDAN_COMPACT,2.2,4,X,11.6,46.67086,223
2000,LOW_RANGE,SEDAN_COMPACT,2.0,4,X,10.5,51.49888,202
2000,MID_RANGE,TRUCK_VAN,5.9,8,X,20.3,25.74944,396
2000,MID_RANGE,SEDAN_COMPACT,4.6,8,X,14.1,38.62416,271
2000,MID_RANGE,WAGON_SPECIALTY,3.0,6,X,12.6,43.45218,244
2000,MID_RANGE,TRUCK_VAN,3.8,6,X,13.3,38.62416,267
2000,MID_RANGE,TRUCK_VAN,5.0,8,X,16.5,30.57746,334
2000,MID_RANGE,SUV_CROSSOVER,5.7,8,X,19.2,27.35878,382
2000,MID_RANGE,MIDSIZE_FULLSIZE,2.0,4,X,9.3,54.71756,189
2000,MID_RANGE,TRUCK_VAN,4.0,6,X,15.5,33.79614,313
2000,MID_RANGE,TRUCK_VAN,2.5,6,X,13.6,38.62416,274
2000,MID_RANGE,SEDAN_COMPACT,1.8,4,X,10.1,49.88954,207
2000,HIGH_RANGE,SEDAN_COMPACT,2.3,4,Z,10.6,49.88954,209
2000,HIGH_RANGE,SEDAN_COMPACT,3.4,6,Z,14.1,38.62416,274
2000,LOW_RANGE,WAGON_SPECIALTY,2.3,4,X,11.7,46.67086,225
2000,MID_RANGE,SEDAN_COMPACT,1.9,4,X,8.0,67.59228,156
2000,MID_RANGE,WAGON_SPECIALTY,1.9,4,X,9.3,57.93624,179
2000,LOW_RANGE,SEDAN_COMPACT,1.3,4,X,7.8,64.3736,163
2000,MID_RANGE,SEDAN_COMPACT,1.8,4,X,8.0,64.3736,161
